TIMETABLE

SUBJECTS
f,f,Labone,Labone,f,f,
alikousbdj,f,f,f,f,f,
f,f,alikousbdj,f,f,f,
f,f,f,f,Labone,Labone,
f,alikousbdj,f,f,f,f,
Labone,Labone,f,alikousbdj,f,f,


TEACHERS
f,f,Alex|Alexa|Bhattacharya|Chandragupta Maurya|,Alex|Alexa|Bhattacharya|Chandragupta Maurya|,f,f,
Chandragupta Maurya,f,f,f,f,f,
f,f,Chandragupta Maurya,f,f,f,
f,f,f,f,Alex|Alexa|Bhattacharya|Chandragupta Maurya|,Alex|Alexa|Bhattacharya|Chandragupta Maurya|,
f,Chandragupta Maurya,f,f,f,f,
Alex|Alexa|Bhattacharya|Chandragupta Maurya|,Alex|Alexa|Bhattacharya|Chandragupta Maurya|,f,Chandragupta Maurya,f,f,


ROOM
NA,NA,CS114|CS115|,CS114|CS115|,NA,NA,
CS114,NA,NA,NA,NA,NA,
NA,NA,CS114,NA,NA,NA,
NA,NA,NA,NA,CS114|CS115|,CS114|CS115|,
NA,CS114,NA,NA,NA,NA,
CS114|CS115|,CS114|CS115|,NA,CS114,NA,NA,


