TIMETABLE

SUBJECTS
21IS62,21IE66FX,21CS64DX,21CS64DX,f,f,
21CS63,21HS61B,21IS62,21IS62,f,f,
21CS65EX,21CS65EX,21HS61B,21HS61B,CD/CD/SE,CD/CD/SE,
SE/SE/CD,SE/SE/CD,21CS63,f,21IE66FX,21IE66FX,
21CS63,21CS65EX,f,21CS64DX,f,f,
Reserved,Reserved,Reserved,Reserved,Reserved,Reserved,


TEACHERS
Dr Rajashree Shettar,21IE66FX,21CS64DX,21CS64DX,f,f,
Dr. Suma B,Dr. Manas M N,Dr Rajashree Shettar,Dr Rajashree Shettar,f,f,
21CS65EX,21CS65EX,Dr. Manas M N,Dr. Manas M N,CD/CD/SE,CD/CD/SE,
SE/SE/CD,SE/SE/CD,Dr. Suma B,f,21IE66FX,21IE66FX,
Dr. Suma B,21CS65EX,f,21CS64DX,f,f,
Reserved,Reserved,Reserved,Reserved,Reserved,Reserved,


ROOM
CE 304,NA,NA,NA,NA,NA,
CE 304,CE 304,CE 304,CE 304,NA,NA,
NA,NA,CE 304,CE 304,NA,NA,
NA,NA,CE 304,NA,NA,NA,
CE 304,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,


